model,target,weight
CU-EKF_SEIRS,1,0.04795200188406991
CU-EKF_SIRS,1,0.04795200188406991
Delphi-DeltaDensity2,1,0.030816558521002353
CU-BMA,1,1.5746080805513507e-07
CU-EAKFC_SEIRS,1,0.04795200188406991
ReichLab-KDE,1,6.8956643093305695e-46
ReichLab-SARIMA1,1,3.1650973638376174e-07
Delphi-BasisRegression,1,0.09126848133253726
Delphi-DeltaDensity1,1,0.2245561139630147
CU-RHF_SIRS,1,0.04795200188406991
CU-EAKFC_SIRS,1,0.04795200188406991
Delphi-Uniform,1,1.705704612272692e-144
ReichLab-SARIMA2,1,0.008334154784596435
Delphi-Stat,1,2.12801129914794e-05
Delphi-EmpiricalBayes1,1,0.04837306798301057
Delphi-EmpiricalFuture,1,7.722097897284964e-69
Delphi-EmpiricalBayes2,1,1.9808390134560898e-10
ReichLab-KCDE,1,0.3089178578297912
LANL-DBM,1,8.625240387320275e-15
CU-RHF_SEIRS,1,0.04795200188406991
Delphi-EmpiricalTraj,1,7.722097897284964e-69
CU-EKF_SEIRS,2,0.21571232728480702
CU-EKF_SIRS,2,0.21965404299924082
Delphi-DeltaDensity2,2,0.002456962124420095
CU-BMA,2,3.3919618165128814e-16
CU-EAKFC_SEIRS,2,0.00016335941396500197
ReichLab-KDE,2,3.425881766362313e-71
ReichLab-SARIMA1,2,1.1661213731861088e-18
Delphi-BasisRegression,2,0.09659451230524135
Delphi-DeltaDensity1,2,0.38282426210349735
CU-RHF_SIRS,2,0.0001891503739628328
CU-EAKFC_SIRS,2,2.2873338231968646e-08
Delphi-Uniform,2,9.614701565275e-312
ReichLab-SARIMA2,2,6.771123638147511e-13
Delphi-Stat,2,1.0570132378924201e-11
Delphi-EmpiricalBayes1,2,0.02615588949707101
Delphi-EmpiricalFuture,2,2.6586353722998618e-126
Delphi-EmpiricalBayes2,2,1.2333549793740023e-06
ReichLab-KCDE,2,0.05624523173557989
LANL-DBM,2,4.162178427172137e-23
CU-RHF_SEIRS,2,3.0059226500159637e-06
Delphi-EmpiricalTraj,2,2.6586353722998618e-126
CU-EKF_SEIRS,3,0.3076786101454559
CU-EKF_SIRS,3,0.03158097728090626
Delphi-DeltaDensity2,3,0.015126044752593245
CU-BMA,3,5.743568410186202e-10
CU-EAKFC_SEIRS,3,2.146249472595308e-07
ReichLab-KDE,3,1.956617466290699e-50
ReichLab-SARIMA1,3,3.1391515929896406e-24
Delphi-BasisRegression,3,0.06428599244125079
Delphi-DeltaDensity1,3,0.4990649151766189
CU-RHF_SIRS,3,1.1167577519009734e-08
CU-EAKFC_SIRS,3,1.5652681844988934e-09
Delphi-Uniform,3,1.9157856866566005e-255
ReichLab-SARIMA2,3,6.240978011050984e-11
Delphi-Stat,3,1.4024906904009667e-09
Delphi-EmpiricalBayes1,3,0.04691383584013932
Delphi-EmpiricalFuture,3,6.754414976658611e-95
Delphi-EmpiricalBayes2,3,4.51352207140012e-07
ReichLab-KCDE,3,0.029168227365650792
LANL-DBM,3,1.3936737651654767e-22
CU-RHF_SEIRS,3,0.00618071624812782
Delphi-EmpiricalTraj,3,6.754414976658611e-95
CU-EKF_SEIRS,4,0.17592631527227293
CU-EKF_SIRS,4,4.566818218609438e-05
Delphi-DeltaDensity2,4,0.0027660540238262027
CU-BMA,4,6.334233802058641e-12
CU-EAKFC_SEIRS,4,0.0519221548139187
ReichLab-KDE,4,3.7890624687054325e-29
ReichLab-SARIMA1,4,6.208642960164474e-24
Delphi-BasisRegression,4,0.02581055787909942
Delphi-DeltaDensity1,4,0.5966114554359154
CU-RHF_SIRS,4,0.00010893680872228964
CU-EAKFC_SIRS,4,2.521010598896945e-05
Delphi-Uniform,4,7.995392959295127e-181
ReichLab-SARIMA2,4,1.5876981902815543e-09
Delphi-Stat,4,2.0059860886598797e-07
Delphi-EmpiricalBayes1,4,0.02942280570400357
Delphi-EmpiricalFuture,4,6.257959071727982e-64
Delphi-EmpiricalBayes2,4,5.524428837347144e-12
ReichLab-KCDE,4,0.08239281116488593
LANL-DBM,4,3.23425194501719e-23
CU-RHF_SEIRS,4,0.034967828411014694
Delphi-EmpiricalTraj,4,6.257959071727982e-64
CU-EKF_SEIRS,peak,4.211646253439331e-13
CU-EKF_SIRS,peak,8.0995781310158e-07
Delphi-DeltaDensity2,peak,1.980177436748589e-20
CU-BMA,peak,2.0210225717331383e-34
CU-EAKFC_SEIRS,peak,6.151894329860009e-07
ReichLab-KDE,peak,3.28773527408994e-115
ReichLab-SARIMA1,peak,0.0005291792899031798
Delphi-BasisRegression,peak,0.017409675713752702
Delphi-DeltaDensity1,peak,5.6765570145645416e-11
CU-RHF_SIRS,peak,0.0045535496109383455
CU-EAKFC_SIRS,peak,0.026228511733373244
Delphi-Uniform,peak,4.315306802680205e-170
ReichLab-SARIMA2,peak,7.670039223270047e-12
Delphi-Stat,peak,4.319198450217838e-11
Delphi-EmpiricalBayes1,peak,2.58320950595548e-25
Delphi-EmpiricalFuture,peak,0.03452823228810321
Delphi-EmpiricalBayes2,peak,2.9808576145419685e-81
ReichLab-KCDE,peak,0.21132442605994387
LANL-DBM,peak,0.7054250000482435
CU-RHF_SEIRS,peak,4.4613060449980784e-13
Delphi-EmpiricalTraj,peak,1.1410911499883932e-117
CU-EKF_SEIRS,peak_wk,6.21194452931448e-08
CU-EKF_SIRS,peak_wk,2.254449451523694e-05
Delphi-DeltaDensity2,peak_wk,1.1611734411285533e-12
CU-BMA,peak_wk,0.03825505517757436
CU-EAKFC_SEIRS,peak_wk,2.169728618977401e-06
ReichLab-KDE,peak_wk,4.3437618885177264e-29
ReichLab-SARIMA1,peak_wk,1.2748721642826854e-28
Delphi-BasisRegression,peak_wk,0.009573669114195302
Delphi-DeltaDensity1,peak_wk,3.7509983438189245e-36
CU-RHF_SIRS,peak_wk,8.122467878038476e-07
CU-EAKFC_SIRS,peak_wk,0.18035776544426296
Delphi-Uniform,peak_wk,3.298748525372453e-97
ReichLab-SARIMA2,peak_wk,0.5104705416172989
Delphi-Stat,peak_wk,5.649307905851702e-09
Delphi-EmpiricalBayes1,peak_wk,7.434882577412227e-23
Delphi-EmpiricalFuture,peak_wk,6.518479731436993e-29
Delphi-EmpiricalBayes2,peak_wk,4.2811999365303386e-17
ReichLab-KCDE,peak_wk,1.9865153165145145e-05
LANL-DBM,peak_wk,0.2612975090743365
CU-RHF_SEIRS,peak_wk,1.7932953202044393e-10
Delphi-EmpiricalTraj,peak_wk,3.18915298083634e-54
CU-EKF_SEIRS,onset_wk,0.01096911741137097
CU-EKF_SIRS,onset_wk,3.6528950833443213e-06
Delphi-DeltaDensity2,onset_wk,1.2612123654789738e-108
CU-BMA,onset_wk,6.046320964610745e-12
CU-EAKFC_SEIRS,onset_wk,0.10452679245639497
ReichLab-KDE,onset_wk,4.155153033869229e-23
ReichLab-SARIMA1,onset_wk,2.1866729201628113e-10
Delphi-BasisRegression,onset_wk,3.9977444011362697e-98
Delphi-DeltaDensity1,onset_wk,2.363759582842883e-144
CU-RHF_SIRS,onset_wk,0.0002826016176302043
CU-EAKFC_SIRS,onset_wk,0.10297371749325769
Delphi-Uniform,onset_wk,9.496679225104334e-153
ReichLab-SARIMA2,onset_wk,0.2480057701038034
Delphi-Stat,onset_wk,1.3281614079544557e-109
Delphi-EmpiricalBayes1,onset_wk,5.621395488036243e-173
Delphi-EmpiricalFuture,onset_wk,0.08160254700744227
Delphi-EmpiricalBayes2,onset_wk,1.0455992272234921e-140
ReichLab-KCDE,onset_wk,0.140717195636343
LANL-DBM,onset_wk,0.3107972134136012
CU-RHF_SEIRS,onset_wk,0.00012139174036035136
Delphi-EmpiricalTraj,onset_wk,5.902506937976583e-78
